,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"Pri Hartanto","2021-11-09 21:19:03",0,no,no,Respect,UC4Pxv8MXh39K3MkemEcOLoQ,Ugw_QUA69zVu-MgOfTV4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugw_QUA69zVu-MgOfTV4AaABAg
2,,"Mahdi Fathurrahman","2021-11-09 22:06:06",0,no,no,"1 jam 22 Menit dan rasanya masih kurang waktunya untuk ngulik Kang Yayan Ruhian",UCsXlL3esIiQNM-uElbIAaKw,UgwzFQlrrFh4vlJymcR4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwzFQlrrFh4vlJymcR4AaABAg
3,,"Ris Wandika","2021-11-10 03:34:21",0,no,no,"Merinding pas kang yayang bahas tentang film2 makassar.Salam dari silat makassar ,pamanca",UCUvkJxh_JOOlNZjVI7rpG3Q,UgxkXgGtZU70XIsgb5V4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxkXgGtZU70XIsgb5V4AaABAg
4,,"Wahyu Wuysang","2021-11-10 06:32:42",0,no,no,"tanyakan beliau bagaimana bertarung dengan john wick",UC8IzuYIo2y_SvG0Yc8M7heg,UgykaZA3C1VuSfXoiAJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgykaZA3C1VuSfXoiAJ4AaABAg
5,,"Radit CS","2021-11-10 07:31:57",1,no,no,"ada gregetnya",UCs7tinFCNftwfQFtTbGAnHQ,UgyeYOt0bDMpngBZLVJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyeYOt0bDMpngBZLVJ4AaABAg
6,,Zan,"2021-11-10 07:38:43",0,no,no,"g tau",UCIw9U7zhBLXvwv6IvHLhwmA,Ugypl4wiMVJsOFLjmBJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugypl4wiMVJsOFLjmBJ4AaABAg
7,,"Dwi Anugra","2021-11-10 08:23:59",1,no,no,"Ini lah contoh orang, semakin tinggi ilmunya, semakin tinggi pula adab n rendah hatinya. Kang yayan selalu berusaha merendah jika membahas suatu hal yg sejatinya itu adalah kelebihannya 👍👍👍",UCCV882Oyeconf2JY8p6W5lw,Ugx2Wk8CbQVRNKGGMTh4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugx2Wk8CbQVRNKGGMTh4AaABAg
8,,"Dosen Jualan","2021-11-10 12:35:32",0,no,no,"Petarung sejati senior memang beda waskitanya",UCgIY79JIWlupQjBYodtpGjA,Ugx46VoCWP1AlHC8CGx4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugx46VoCWP1AlHC8CGx4AaABAg
9,,"Farid Usman","2021-11-10 19:11:02",0,no,no,"Film tarung sarung 🔥🔥🔥 EWAKO bang yayan",UCSFyOondv3LOQRXCxEYJJHg,Ugyf1EhEgNazEFOJcO94AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugyf1EhEgNazEFOJcO94AaABAg
10,,Zask70,"2021-11-11 02:01:50",0,no,no,"Uuuuiiisssshhhh ngeri2 ketemu legenda",UC2Xed-SaxcOMl9vtrNcLRog,Ugxw_0iOJKGD9b68mwN4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugxw_0iOJKGD9b68mwN4AaABAg
11,,"muhammad syahril zumhur","2021-11-11 02:30:00",0,no,no,"3:42 jadi keinget larry",UCOxHvQ3EaXXhav-T1r1AACA,UgxqFD1aoHXEpXD3omJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxqFD1aoHXEpXD3omJ4AaABAg
12,,"AZIS PITAK","2021-11-11 04:10:12",1,no,no,"Sosok yg ""membumi"" di tengah tantangan glamorisasi. Salut kang Yayan. Keep humble..",UCERzTcWET9E2P0TrwHqaa6w,Ugz4idWO1zcwsRoDSRF4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugz4idWO1zcwsRoDSRF4AaABAg
13,,Farizi,"2021-11-11 06:20:19",0,no,no,"Jadi keinget ini
https://youtu.be/NDpW3EUvVd0",UC2lKVmF0LXGB3_FrsqLoH2Q,Ugy1lDGY-k_5p6ExcP14AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugy1lDGY-k_5p6ExcP14AaABAg
14,,"Syaiful Hidayat","2021-11-11 09:50:08",0,no,no,"mantap podcast nya bng dedy",UCMZXWl11nzJoKzQWRTx43JQ,UgyPubFo1ELz1rnfHHN4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyPubFo1ELz1rnfHHN4AaABAg
15,,Jembrooot,"2021-11-11 13:23:57",0,no,no,"ini bintang tamu worth it buat gue tonton jadi gak wasting time",UCUs2QlMPANnAp_zSfqDXwdQ,UgxjVBp2rNQBIp1gWk54AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxjVBp2rNQBIp1gWk54AaABAg
16,,KAZAO,"2021-11-11 14:16:46",0,no,no,"Mad dog is here",UChRs034LgdNvBVzsjvDc5fg,Ugx1XKaQl69IN16lDKJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugx1XKaQl69IN16lDKJ4AaABAg
17,,"Muhammad Fadli","2021-11-11 17:02:01",0,no,no,"ohh ini mad dog",UC0-6BD9u162NMpTUR3EUdOQ,UgxDPHVBbkpqkpGHarh4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxDPHVBbkpqkpGHarh4AaABAg
18,,"Borneo Neo","2021-11-11 19:14:05",1,no,no,"Bakmi meddog",UCwGwPR2f_McmS4_8Zo031QQ,UgwMfHxQ7crGQMurRrh4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwMfHxQ7crGQMurRrh4AaABAg
19,,"Kabz JNCK","2021-11-11 21:29:32",0,no,no,"Setelah menonton video ini saya menantang semua org yg lewat depan rumah gw !!!",UCyjB136-H8Wjh0PHsxi5saA,UgyNm0bBX8dqnVuWq5R4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyNm0bBX8dqnVuWq5R4AaABAg
20,,"Erick Kurniawan","2021-11-12 02:18:52",0,no,no,"Numpang nonton ah,Ada Mamang Yayan MadDog Ruhian dong 😘🙋🤘",UC43mkouom4mPH5UP2f9stRw,UgzAcmjdQnqrVfqVv_l4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzAcmjdQnqrVfqVv_l4AaABAg
21,,"Diki Wahyu Nugraha","2021-11-12 02:36:19",0,no,no,"MAT DOG",UCKuQehiuIbNZ8XBJSoU1_3Q,UgwnFGkOX3X24PVBgud4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwnFGkOX3X24PVBgud4AaABAg
22,,"danis M,h","2021-11-12 05:48:49",0,no,no,"Gw kira Sumanto",UC0IT8zy1rf6rkYCqgPbxFnA,UgwV8WabFIY4E7WjJbB4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwV8WabFIY4E7WjJbB4AaABAg
23,,"RIZKY ALAM","2021-11-12 10:54:05",1,no,no,"Namanya juga dunia persilatan .",UCjlGSv67b5FFsPRe7gSwj6A,UgzuCEEhtEXFyzMzTLp4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzuCEEhtEXFyzMzTLp4AaABAg
24,,"Karel_ CTA","2021-11-12 14:39:52",0,no,no,"23:42 Nyindir siapa tuh? hahahaha",UCw7BT3Ev_y_2b_nMkAL6XBg,UgyLZ2FDb8KHkhdTeK14AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyLZ2FDb8KHkhdTeK14AaABAg
25,,ʀᴇᴢᴀ,"2021-11-12 15:32:21",0,no,no,"Mantap 👍",UCXwLmxxwd9DUT5SzyY_U0_Q,UgyDYKT1fCWHV-tFfkF4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyDYKT1fCWHV-tFfkF4AaABAg
26,,"senopati band","2021-11-12 17:41:25",1,no,no,👍👍👍👍,UCCj2k30SRkgILaC5VaO8YSg,UgwaKW_xwxO0atBeNkR4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwaKW_xwxO0atBeNkR4AaABAg
27,,"senopati band","2021-11-12 17:42:23",1,no,no,"Mantab 👍👍
https://youtu.be/BMrUBlwDwEg",UCCj2k30SRkgILaC5VaO8YSg,UgxUGeG3KqY4QunJ4dp4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxUGeG3KqY4QunJ4dp4AaABAg
28,,"iwel _PERSIJA_1928","2021-11-12 18:38:32",0,no,no,"Iko Uwais dong podcast",UCsAyJExR6oqo6Ledj-YfqUA,UgxtPMRU51I-XIBuqTl4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxtPMRU51I-XIBuqTl4AaABAg
29,,"Rizki Bagus","2021-11-12 19:25:23",0,no,no,"Ada geregetnya nih wkwkw",UCoCry_C_YZp35Ch4HDtqZAA,Ugz4lvDnwR-ch5TiUH94AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugz4lvDnwR-ch5TiUH94AaABAg
30,,"elond Sailor","2021-11-13 01:56:36",0,no,no,"Sa rasa si
Suka dialegny",UCOe3NBuiyc7GFzCoGORhtdA,UgycMdX6bwnU3Z7cy2l4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgycMdX6bwnU3Z7cy2l4AaABAg
31,,"SANTUY GAN","2021-11-13 03:12:19",0,no,no,"13:36 keseringan nonton coki muslim",UCSCatCfxonbIlnOmoyUZFXg,UgyzU6crOF2pC13qivR4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyzU6crOF2pC13qivR4AaABAg
32,,"Husna Farahdiba","2021-11-13 07:54:17",0,no,no,"Undang Iko Uwais sama Audy dong🙏",UCjn2I2i7JTbhEAhlNwYuwbA,Ugzu7VVvPVeLivqP66h4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugzu7VVvPVeLivqP66h4AaABAg
33,,"pepsodent MOBILE LEGEND","2021-11-13 09:09:04",2,no,no,"ini yang namanya kecil2 cabe rawit.
 sangat mematikan. mantap kang yayan😊😊😊",UCC8qnaLRsa6-5__DmNajjcg,UgxPXgiMzCtNxa4xfal4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxPXgiMzCtNxa4xfal4AaABAg
34,,"The Hanz","2021-11-13 10:07:21",1,no,no,"Biar greget",UCvlY9cQtBerXFZFH8VRgAjA,UgzuGHnw9zP1OoHzmBR4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzuGHnw9zP1OoHzmBR4AaABAg
35,,"Tiberiu Olar","2021-11-13 11:48:22",0,no,no,"Mines of dalarnia you think IT will go uppp",UCm9ENtdS0eUrQkVbvQhOeNw,UgyAGhcQUWC5zy48eed4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyAGhcQUWC5zy48eed4AaABAg
36,,"Ahmadrizqi Saputra","2021-11-13 14:28:35",1,no,no,"Inget masa pak yayan syuting film *The raid 2*
Dan tarung sarung makasar🤗",UCusru9YXb2iLUqMTAp2knFg,UgxSe0L6z4xJCZRE6jl4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxSe0L6z4xJCZRE6jl4AaABAg
37,,"Ainur Fariski","2021-11-13 17:04:25",0,no,no,"Gw harap selanjutnya master dedy ngundang bang iko, bang cecep sama bang joe tsalim 😁",UCUYvreLoCIBwo_r1EPpvRRA,UgzX-mtxGUF07D_bIbN4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzX-mtxGUF07D_bIbN4AaABAg
38,,HibbanIbrahim,"2021-11-14 03:52:49",0,no,no,"My Madd dog",UCk8Vl4o-ri_-40xNXDWPDjg,UgyPcG1GrIinWLW_nuR4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyPcG1GrIinWLW_nuR4AaABAg
39,,"A. Alvin Alauddin","2021-11-14 09:29:04",0,no,no,"1:13:42 kereeeen",UCPIa36n3fLQMR_nP2KJxDag,Ugx69yCoh6xnxn3ed5Z4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugx69yCoh6xnxn3ed5Z4AaABAg
40,,Nabiila,"2021-11-14 16:13:50",0,no,no,"""asli""
-yayan ruhian",UCekGJjf1NW13vRmgpqEvZlA,UgywOJGP868uHjMFsKR4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgywOJGP868uHjMFsKR4AaABAg
41,,"Kundi Ariyanto","2021-11-14 16:42:34",1,no,no,"Mr. Greget",UCi9zw7NhhtLu_xjOq0F23yA,Ugy3EM613eqTusamzAB4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=Ugy3EM613eqTusamzAB4AaABAg
42,,"Saidul Khudri Panjaitan","2021-11-14 17:59:42",0,no,no,"Banyak bgt pelajaran hidupnya.sehat sllu om",UCk0kfJ7LBhSGtGd41NKX-mA,UgwQa-lla2YBfZldbz94AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwQa-lla2YBfZldbz94AaABAg
43,,"Hengky Suhendie","2021-11-14 23:14:51",0,no,no,"Beuhh,, lg asyik"" nya nonton nich acara, tau"" habis.
Sumpah Podcast yg nyebelin,,.
Sampe ogut ulang"" lagi tuch...
Merasa ada yg hilang gak tau knapa..
Mungkin  karena dua orang ini yg bicara'a  ngalir gitu aja, seni hidup, menjaga sportifitas dan ending'a bangga dengan negeri'a. yg masih banyak oksigen.
Smoga kalian sehat slalu dan terkabul do'a"" nya.
Aamiin.",UCj6M_9ksSCPU3E9lpvy3WBA,UgxxP5Sikh5pi9TqMFd4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxxP5Sikh5pi9TqMFd4AaABAg
44,,"FAJAR HIMAWAN","2021-11-14 23:23:41",0,no,no,"Pertanyaan jebakan om dedi ada di pas dia bercerita berantem sama orang nyabu 🤣",UCGqTBIGIgDUKF1LoCsY_L7A,UgzIKZMbwnv92ZyRFRJ4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzIKZMbwnv92ZyRFRJ4AaABAg
45,,クリスナイフ,"2021-11-15 00:56:43",1,no,no,"Intinya yang penting tehknik lah ya kang...
Klo gua si ya hajar kaki, begitu down hantem batang lehernya, terus sisanya terserah. Disitu musuh udah gelap ga si?. Mantep kang yayan.",UCljmIu0r9GfruuBpkt81n5w,UgxcStRYVx1qiN5SyDl4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxcStRYVx1qiN5SyDl4AaABAg
46,,"Komang Berlyan","2021-11-15 02:57:10",0,no,no,Panutan💪,UCm2psDmuaSQp08ttFCY-LGw,UgwKW65LIXSw2qnJDOl4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgwKW65LIXSw2qnJDOl4AaABAg
47,,"Adriel Joseph Gulö","2021-11-15 04:22:59",1,no,no,"ini nih baru yang namanya greget, kapan nih tanding ??? wkwkwk 😂😂🤣🤣",UCz2Ung0xxRIb1sRsfLZYYwA,UgzTOBP3DnjFv3QlStt4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzTOBP3DnjFv3QlStt4AaABAg
48,,"hantu laut MMA","2021-11-15 05:00:15",0,no,no,"Dagu lo keliatanya kok gede bgt ya om",UCkcwzx5nCsgS7dhTibyzUWw,UgzrONNc05rnQ6sZPax4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgzrONNc05rnQ6sZPax4AaABAg
49,,"Roberto Liku","2021-11-15 05:13:00",0,no,no,"THS THM juga bagian dari 🇮🇩",UCO8vgEsqndNwZ0m3oPWT-pg,UgxD8O8tsp0oTsb_EZt4AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgxD8O8tsp0oTsb_EZt4AaABAg
50,,"Zanuar Kukuh Pribadi","2021-11-15 06:49:45",0,no,no,"Seruuu om yayan pribadinya 😅",UCZkFMCqVR5R7qCkMJkk93Pg,UgyYWW1zgKIlzG3kAU94AaABAg,https://www.youtube.com/watch?v=QdftvnfiLqI&lc=UgyYWW1zgKIlzG3kAU94AaABAg
